text,label,dominant_cluster,entropy
Thanks a lot.,sci.electronics,7,1.7044532
"What is the value of an SE (HDFD) 4/20? -David **** From Planet BMUG, the FirstClass BBS of BMUG. The message contained in **** this posting does not in any way reflect BMUG's official views.",comp.sys.mac.hardware,10,1.7147244
"Followup-To: sci.misc In article (N. Shirlene Pearson) writes: There is an excellent software program called Astro.calc that does that and much more. The latest address I have is MMI Corporation PO Box 19907 Baltimore, MD 21211 Phone (301) 366-1222 -- ------------------------------------------------------------------------------- Van E. Neie Purdue University -------------------------------------------------------------------------------",sci.space,6,1.7215695
"I am trying to define my own class derived from the Object class so that I may insert them into a HashTable (a class provided by the Container class library). I have defined all of the pure virtual functions of Object, but I still get an error when I attempt to allocate a HashEntry object: Cannot create instance of abstract class HashEntry Has anyone derived from class Object before? What have I left out? Here are the virtual functions that I defined from Object: virtual classType isA() const { return hashEntryClass; } virtual Pchar nameOf()const { return ""HashEntry""; } virtual hashValueType hashValue() const { return hashValue(hWindow); } // Note: hWindow is defined in HashEntry virtual int isEqual (const Object _FAR &obj) const { return this == &(HashEntry&) obj; } virtual void printOn( Rostream os) const { os << ""[ HWindow is "" << (void _FAR *) hWindow << "" ]\n""; } -- -------------------------------------------------------------------- - Bowden Wise Computer Science Dept, Rensselaer Polytechnic Inst, Troy, NY 12180 internet:",comp.os.ms-windows.misc,6,1.7218058
"Nntp-Posting-Host: duteela.et.tudelft.nl In (Michael Golan) writes: The only explanation I can think of is that two capacitors in series can handle twice the output voltage. Sometimes two elco's in antiseries (you know, positive sides facing eachother) are used to obtain a large capacitor that can handle positive and negative voltages as well. So there probably is no design-philosophical reason, but a production-cost one. Best 73's Wouter",sci.electronics,7,1.7247283
"It is just extra wire and work to put the switch in front. Usually the easiest place to put the switch is wherever the power cord enters the machine, and people HATE power cords on the front!! I prefer a power strip.",comp.sys.mac.hardware,2,1.7251916
"Nntp-Posting-Host: hydra.convex.com X-Disclaimer: This message was written by a user at CONVEX Computer Corp. The opinions expressed are those of the user and not necessarily those of CONVEX. In article (Tim Spila {Romulan}) writes: Better still, years ago they demonstrated a cold air system which only used ""air"". It was called a Rovax. The unit worked very well, the short coming was the seal technology. Where is it today? AT",rec.autos,7,1.7343518
"In article (David M. Palmer) writes: Unfortunately, if you launch this from the US (or are a US citizen), you will need a launch permit from the Office of Commercial Space Transportation, and I think it may be difficult to get a permit for an antisatellite weapon... :-) The threshold at which OCST licensing kicks in is roughly 100km. (The rules are actually phrased in more complex ways, but that is the result.) -- All work is one man's work. | Henry Spencer @ U of Toronto Zoology - Kipling | utzoo!henry",sci.space,7,1.7390442
"In article (Ken Buck) writes: Nahhh, only about once a week March through May... And sometimes in the fall. :-)",rec.autos,1,1.7486116
"I just got a copy of Tobias' Managing Your Money v9.0. I have Quicken 6, and it's wonderful for some things, but MYM seems to have some features that Q6 doesn't. For example, Q6 doesn't seem to be able to handle monthly automatic deductions from a checking account (you know, a monthly payment that gets electronically deducted every month from my checking account). Or is there something that I'm not doing right, and Q6 can actually do that? Anyway, MYM seems to be able to handle monthly deductions. In fact, it can apparently do better than that. That is, you can specify monthly, bimonthly, quarterly, even yearly. Anyway, is anyone aware of a comparitive study of the two programs? Or can someone just give me their own personal impressions? Maybe someone who has used both. Or maybe someone who is familiar with each could give me a capsule review? Anything would be greatly appreciated. If I keep MYM, I have to pay for it, and I don't know whether it's worth doing. If MYM is better than Q6, of course I will keep it. But if Q6 can do everything MYM can do (maybe even better), I won't. Thanks all! If you post a reply, please also cc me. Thanks.",comp.os.ms-windows.misc,2,1.7803453
Just Testing!!,rec.sport.hockey,2,1.7815075
"It's the number of legs on a centipede. So, now you know. -- Richard Kirk Image Processing Group Crosfield Electronics Ltd. U.K. 0442-230000 x3361/3591 Hemel Hempstead, Herts, HP2 7RH",comp.graphics,2,1.791286
"In-reply-to: message of 5 Apr 93 19:21:18 GMT -----BEGIN PGP SIGNED MESSAGE----- In article (Lance M Cottrell) writes: BTW I have not been able to get pgp to produce a signature that I can attatch to the end of this message. What is the procedure? Thanks. try: pgp -sat +clearsig=on This will do the clearsig signing... Enjoy! - -derek PGP 2 key available upon request on the key-server: -----BEGIN PGP SIGNATURE----- Version: 2.2 iQBuAgUBK8DNazh0K1zBsGrxAQFoZQLEC/XKXMoDhCPf/AZ3aOQSLfz+6w400UDk Ng6prxnPuEuSZQEiiusMCVcRcGnWbaVrxFjA1o4yubh01Czcg3ZC9wLJolXlxJn7 iSJh/eTZxmJnNynJxlGs0Ao= =4eZb -----END PGP SIGNATURE----- -- Derek Atkins, MIT '93, Electrical Engineering and Computer Science Secretary, MIT Student Information Processing Board (SIPB) MIT Media Laboratory, Speech Research Group PP-ASEL N1NWH",sci.crypt,7,1.7965453
"In-reply-to: message of Tue, 27 Apr 1993 07:38:37 GMT In article (Josh Hopkins) writes: Could someone explain where these names come from? I'm sure there's a perfectly good reason to name a planetoid ""Smiley,"" but I'm equally sure that I don't know what that reason is. Read John le Carre's ""Tinker, Tailor, Soldier, Spy"", ""The Honorable Schoolboy"" or ""Smiley's People"". Jan",sci.space,2,1.8336928
hello testing,rec.autos,10,1.8534477
"In article diablo.UUCP!cboesel (Charles Boesel) writes: I've had exactly the same problems in Aldus Freehand. I think autotracing is one of those ""features"" that barely works, but everybody feels compelled to throw it in because the other guys are doing it. :) -- David Farley The University of Chicago Library 312 702-3426 1100 East 57th Street, JRL-210 Chicago, Illinois 60637",comp.graphics,2,1.8671786
"Article-I.D.: news.C52t8L.5CH In article (Bill Riggs) writes: If time is really hard, can a bank selectively call in some mortgage loans early? What if the bank folds, can its creditors call in the loans?",talk.politics.misc,10,1.8966134
"In-Reply-To: message of 11 May 1993 15: 04:44 GMT In article (Support account) writes: In article (Thomas Tornblom) writes: >I'm trying to locate the Type1 rasterizer that IBM donated to The X >consortium. I've found patches to it but not the original source. It's on the R5 ""contrib"" tape. -Mike Glendinning, Ingres UK Yes I found it there. Thanks everyone. Thomas -- Real life: Thomas Törnblom Email: Snail mail: Communicator Nexus AB Phone: +46 18 171814 Box 857 Fax: +46 18 696516 S - 751 08 Uppsala, Sweden",comp.windows.x,2,1.9009842
(Kenny Adams) writes: In this case would the switch control voltages be -7V to turn the switch off and >0V to turn the switch on? michael fulbright,sci.electronics,10,1.923303
"In article (Fred Rice) writes: #In (Vinayak Dutt) writes: #>So instead of calling it interest on deposits, you call it *returns on investements* #>and instead of calling loans you call it *investing in business* (that is in other words #>floating stocks in your company). # #No, interest is different from a return on an investment. For one #thing, a return on an investment has greater risk, and not a set return #(i.e. the amount of money you make can go up or down, or you might even #lose money). The difference is, the risk of loss is shared by the #investor, rather than practically all the risk being taken by the #borrower when the borrower borrows from the bank. # But is it different from stocks ? If you wish to call an investor in stocks as a banker, well then its your choice ..... #>Relabeling does not make it interest free !! # #It is not just relabeling, as I have explained above. It *is* relabeling ... Also its still not interest free. The investor is still taking some money ... as dividend on his investment ... ofcourse the investor (in islamic *banking*, its your so called *bank*) is taking more risk than the usual bank, but its still getting some thing back in return .... Also have you heard of junk bonds ??? ---Vinayak ------------------------------------------------------- vinayak dutt e-mail: standard disclaimers apply -------------------------------------------------------",alt.atheism,10,1.9496185
