text,label,dominant_cluster,entropy
"In-reply-to: message of 20 Apr 93 22:38:07 GMT In article (Paul Dietz) writes: In article (Steinn Sigurdsson) writes: > Why Paul, it's obvious. > Once chlorine chemistry has been banned on Earth, > as is being advocated by some groups, Ti prices will > :-) :-) :-) Well, there already is a sulfate process for TiO2 purification. The chlorine process is cleaner, however, and for that reason is achieving dominance in the marketplace. Darn, caught by the white hot heat of technological progress again... Most Ti is used in pigment, btw (as the oxide), where it replaced white lead pigment some decades ago. Very little is reduced to the metal. Spoilsport. Hence the need for increasing fashion emphasis on anodise Ti jewelry... > Seriously, I'd say there is a flaw in Gary's analysis > in that he assumes an export oriented economy, maybe > the lunatics will just want some native Ti for local > use... Which merely evades the issue of why those lunatics are there at all (and, why their children would want to stay.) I did not evade the issue at all. I clearly stated that this would be from diabolical foresight in establishing a sheltered industrial base for the upcoming Great War ;-) Very cost effective if you use the right accounting method :-) * Steinn Sigurdsson Lick Observatory * * ""standard disclaimer"" * * But, oh, love is strange * * and you have to learn to take the crunchy with the smooth, * * I suppose - B.B. 1983 *",sci.space,0,1.2462229
"Nntp-Posting-Host: 130.187.85.70 In article (Carl Paukstis) writes: Is (was? :-( ) your HG zipper the nylon-coil type or the kind with molded plastic teeth? I've only tried it on the coiled nylon type, and it doesn't take much squish to fix the problem. I found I was overdoing it (no broken parts, but the zipper was too hard to pull) so after spreading the zipper pull jaws again, I tried with Vice-Grips. No, not the usual Grip Of Death technique, I adjusted the closed Vice-Grips so they were snug on the zipper jaws, then released them and tightened the adjusting screw a bit. A couple of iterations and I had just the right amount of Zipper Squish (TM). I've had two zipper pulls fail on my Aerostich suit (actually on the Accessory Ellipse), and they sent me a few replacement pulls free of charge. I don't know what brand of zippers HG uses, but parts ARE available for YKK's plastic zippers. Replacement was pretty simple, just break and remove the plastic knob at the top of the zipper that keeps the pull from coming off the top end. Slide on the new zipper pull. Then crimp on (Vice-Grips again!) a replacement zipper stop. You might try fabric stores & such and see if they sell replacement parts. Oh, for what it's worth, the coil-type zippers on the Eclipse tankbag are also YKK. -- Blaine Gardner @ Evans & Sutherland",rec.motorcycles,0,0.904287
"X-Newsreader: TIN [version 1.1 PL9] Kevin Anthoney wrote: (about my reply) It a society that is constantly on the verge of flaming, Usenet, diplomacy is the best way to ensure the voice of reason gets through, isn't it? Kevin, unfortunately you are now delving into field I know too little about, algorithms. Your reasoning, as I see it, is very much along the lines of Roger Penrose, who claimed that mathematical 'insight' cannot be algorithmic in his book _The emperor's new mind: Concerning computers, minds, and the laws of physics_. However, Penrose's claim that he _has_ mathematical insight, or your similar claim that wavefunctions collapse only when we consciously take a look, could be just illusions. We are obviouslu taking very different viewpoints - I try to ponder on the problem of consciousness from an evolutionary perspective, realising that it might not be anything special, but certainly useful. Thinking back of what I wrote, do you think worms have minds or not? They are able to experience pain, at least they behave just like that. Yet it is conceivable that we might some day in the future perform a ""total synthesis of C. elegans"" from the elements. Would such a worm have a mind? This is true to some extent. However, I do not think that our brains work like computers, at all. In fact, there is substantial evidence (Skarda, 1985; Skarda & Freeman 1987) that brains work more or less chaotically, generating enough randomness for mental states to evolve. Our brains work much like genetic algorithm generators, I suppose. Indeed, this is extremely unlikely, given the vast impact of nurture on our mind and brain. I suggest, however, that before trying to understand our consciousness as a collection of algorithms. Kevin, take a look at the references I mentioned, and think again. I still think the best experts on the nature of a conscious mind are neurologists, neuropsychologists and biologists (but do not flame me for my opinions), since they study beings that are conscious. The reason I am repeating my advice is that this discussion cannot lead to anywhere if our backgrounds are too different. And please, do not bring QM into this discussion at all - not all physicists are happy with the claim that our consciousness plays some special role in physics. I would say it doesn't. Again, _brains are not computers_. Don't forget this. This does not mean they need something else to work - they just work differently. Their primary 'purpose' is perception and guidance of action, self-awareness and high intelligence are later appearances. You are still expecting that we could find the idea of 'green' in our brains somewhere, perhaps in the form of some chemical. This is not how I see it. The sensation 'green' is a certain time-dependent pattern in the area V4 of our visual cortex, and it is distributed with the help of areas V1 and V2 to the rest of the brain. Indeed, a firing pattern. I have sometimes thought of our consciousness as a global free induction pattern of these local firing patterns, but this is just idle speculation. Scientific American's September 1992 issue was a special issue on mind and brain. Have you already read it from cover to cover? ;-) There are two articles on visual perception, so you might be interested. But again, please note that subjective experiences cannot be observed from a third-person perspective. If we see nothing but neuronal activity, we cannot go on to conclude that this is not the mind. Kalat (1988) writes about numerous examples where electric stimulation of different areas of brain have led to various changes in the patients' state of mind. For instance, a patient whose septal area was stimulated (without his knowledge) by remote control during a psychiatric interview was quickly cured of his depression, and started discussing a plan to seduce his girlfriend. Stimulations in the temporal lobe have sometimes led to embarrassing situations, when the patients have started flirting with the therapist. In conclusion, there is evidence that 1) brains are essentially necessary for subjective experiences, brain damage is usually equivalent to some sort of mind damage 2) conscious processes involve substantial brain activity in various areas of brain - when we think of colours, our visual cortex is activated etc. 3) consciousness is an afterthought - we become conscious of our actions with a half a second delay, and our brains are ahead of our 'conscious will' by at least 350 ms. Thus, I think it is fruitful to turn the question ""Why do 'I' see colours"" around and ask ""What is this 'I' that seems to be observing?"", since it seems that our conscious mind is not the king of our brains. This depends on what is meant by 'seeing colours'. Does a neural network that is capable of recognising handwritten numbers from 0 to 9 see the numbers, if it is capable of sorting them? If you are asking, ""why does an animal who is conscious of itself as an observer have an evolutionary advantage over an animal who doesn't"", I have a good answer - read my previous posting, where I wrote why a sense of identity helps social animals to swap roles and act more morally, so that they don't unconsciously kill each other with newly discovered weapons. (A bit extreme, but this is the basic idea.) When early _Homo_ became more and more efficient in using tools, a sense of identity and the concept of 'self' had to evolve in line with this development. Indeed, respect for others and conscious altruistic behaviour might be evolutionary advantages for social animals, such as early humans. If minds are required for this, does this mean that until human minds came to the scene, wavefunctions never collapsed, but remained in the superpositions for aeons? My, how powerful we are. This has been discussed before, and I think this topic is irrelevant, since we do not agree that minds are necessary, and neither do physicists. I agree, but not in the sense you apparently mean above - physics needs sharp minds to solve many real problems. ;-) It's OK, if you don't forget to take with you the references I wrote about in my previous posting, plus the following: Kalat, James W. (1988): Biological Psychology. 3rd ed., Wadsworth Publishing Company, Belmont, CA 1988. Skarda, C. (1985): Explaining behavior: Bringing the brain back in. Inquiry 29:187-202. Skarda, C. & Freeman, W. (1987): How brains make chaos in order to make sense of the world. Behavioral and Brain Sciences 10:161-173. Petri -- ___. .'*''.* Petri Pihko kem-pmp@ Mathematics is the Truth. !___.'* '.'*' ' . Pihatie 15 C finou.oulu.fi Physics is the Rule of ' *' .* '* SF-90650 OULU kempmp@ the Game. *' * .* FINLAND phoenix.oulu.fi -> Chemistry is The Game.",alt.atheism,7,1.1651492
"Hey, I have some Star Trek Christmas Ornaments for sale. They are the the Hallmark Shuttle Craft Galileo. They went for $24.00 during christmas. I am willing to sell it for that price + shipping. If you are interested and have some questions, please reply... give me a call at 714-539-4251.. DANG",misc.forsale,2,1.0655286
"Article-I.D.: hal.1r4cej$1jc8 I just had an idea. I'm not sure if its been done and I'm just remembering it unconsiously, but I thought that in dialog boxes and whatever in windowing systems, there should be a way to intuitivly set some things checked or unchecked or filled in a certain way. My idea: tape. You know, like putting a piece of tape over a light switch? Just an idea, if you like it, use it. -- Daniel Drucker N2SXX | Forever, forever, my Coda. |",comp.windows.x,6,1.1997073
In article you write: The difference is that the 16550 got bugs while the 16550A can be used whithout problems even in fast serial communications. Other sources say that only the 16550AFN from Nat Semi (i.e. not: second sources) is really OK. Best wishes Oliver,comp.sys.ibm.pc.hardware,6,1.4911009
"It is just extra wire and work to put the switch in front. Usually the easiest place to put the switch is wherever the power cord enters the machine, and people HATE power cords on the front!! I prefer a power strip.",comp.sys.mac.hardware,2,1.7251916
"In article (Lynn E. Hall) writes: I went there too. All I can say is ""TOO MUCH TRASH"". -- I hate the 3B2 The 3B2 can bite me.",rec.motorcycles,7,1.4298649
"Nntp-Posting-Host: bolero In (Arno Schaefer) writes: No, VGALIB? Amazing.. I guess it was lost in all those subdirs :-) Thanks for correcting me. It doesn't sound very appealing though, only 320x200? I'm glad it wasn't something major I missed. Thanks,",comp.graphics,6,1.1511214
"Article-I.D.: cup.80081 The simplest and cheapest soft UV bulb is an AR-1 argon bulb (or other argon bulb). It works like a neon bulb except it glows purple. It will cause stuff to fluoresce. It requires very little power, just a battery, an oscillator, and a step-up transformer to about 100 volts. Electronic Goldmine (602) 451-7454 has several UV lamps, both as pre-built units and kits. Ask for their catalog.",sci.electronics,10,1.084461
